vehicle_id,battery_pct,temperature_c,speed_kph,timestamp
1,88.4,31.2,38.0,2026-08-29T14:00:00+00:00
3,81.2,46.8,51.0,2026-08-29T14:00:00+00:00
8,65.5,34.1,42.0,2026-08-29T14:00:00+00:00
1,88.2,31.8,44.0,2026-08-29T14:00:02+00:00
3,81.0,49.4,55.0,2026-08-29T14:00:02+00:00
8,65.3,34.8,39.0,2026-08-29T14:00:02+00:00
1,88.0,32.1,49.0,2026-08-29T14:00:04+00:00
3,80.8,51.7,43.0,2026-08-29T14:00:04+00:00
8,65.1,35.0,0.0,2026-08-29T14:00:04+00:00
1,87.8,31.9,46.0,2026-08-29T14:00:06+00:00
3,80.6,53.2,34.0,2026-08-29T14:00:06+00:00
8,64.9,35.2,0.0,2026-08-29T14:00:06+00:00
